date,id,ref
2025-07-17,6155,21.95
2025-07-17,6180,67.2
2025-07-17,6194,34.25
2025-07-17,6212,44.15
2025-07-17,6229,23.6
2025-07-17,6284,67.5
2025-07-17,6442,443.37
2025-07-17,6719,204.8
2025-07-17,6727,69
2025-07-17,6914,138.5
2025-07-17,7705,50.6
2025-07-17,8039,46.75
2025-07-17,8215,22.28
2025-07-17,9919,17.15
2025-07-18,1809,15.75
2025-07-18,2392,55.5
2025-07-18,3465,50.2
2025-07-18,3703,22.55
2025-07-18,3713,20.44
2025-07-18,5014,10.95
2025-07-18,5284,207.51
2025-07-18,6191,88.19
2025-07-18,6541,52.95
2025-07-18,6671,40
2025-07-18,6887,75.03
2025-07-18,8050,55.22
2025-07-18,9907,18.03
2025-07-21,0050,51.09
2025-07-21,0056,34.73
2025-07-21,1436,81.6
2025-07-21,1446,21.05
2025-07-21,1535,54.5
2025-07-21,1560,359.01
2025-07-21,1777,80.1
2025-07-21,1785,52.4
2025-07-21,2617,26.85
2025-07-21,2640,129
2025-07-21,3284,26.17
2025-07-21,3491,353.51
2025-07-21,3552,59.8
2025-07-21,3675,147.85
2025-07-21,4909,66.4
2025-07-21,5276,14.4
2025-07-21,5386,67.33
2025-07-21,5546,28.45
2025-07-21,6419,58.1
2025-07-21,6782,169.4
2025-07-21,6919,121.5
2025-07-21,6923,86.48
2025-07-21,6968,66.37
2025-07-21,8358,82.1
2025-07-21,9926,50.2
2025-07-22,1303,29.1
2025-07-22,1454,14.75
2025-07-22,1532,24.86
2025-07-22,2009,33.75
2025-07-22,2206,60.97
2025-07-22,2471,53.44
2025-07-22,2884,32.67
2025-07-22,3611,187.02
2025-07-22,4506,108.5
2025-07-22,4933,71.61
2025-07-22,5548,24.1
2025-07-22,6187,402.81
2025-07-22,6206,129
2025-07-22,6231,237
2025-07-22,8131,26.9
2025-07-22,8411,13.15
2025-07-23,1201,15.5
2025-07-23,2530,29.6
2025-07-23,2838,16.58
2025-07-23,3266,14.7
2025-07-23,3587,196.06
2025-07-23,3694,58.52
2025-07-23,4129,100.5
2025-07-23,4433,27.65
2025-07-23,4442,45.37
2025-07-23,4551,120.8
2025-07-23,4584,52.8
2025-07-23,4912,78.55
2025-07-23,4987,79.7
2025-07-23,5269,1849.99
2025-07-23,5483,107
2025-07-23,6219,19.62
2025-07-23,6244,17.89
2025-07-23,6506,15.3
2025-07-23,6691,394.34
2025-07-23,6721,58
2025-07-23,8473,30.82
2025-07-23,9918,39.8
2025-07-24,1103,14.09
2025-07-24,1108,14.1
2025-07-24,1229,45.04
2025-07-24,1304,10.6
2025-07-24,1305,11.45
2025-07-24,1308,12.2
2025-07-24,1309,11.45
2025-07-24,1419,56.1
2025-07-24,1434,16.15
2025-07-24,1503,177.5
2025-07-24,1617,15.25
2025-07-24,1762,28.25
2025-07-24,2002,19.67
2025-07-24,2352,25.59
2025-07-24,2414,41.85
2025-07-24,2511,9.31
2025-07-24,2836,11.65
2025-07-24,2937,41.82
2025-07-24,3206,35.3
2025-07-24,3219,45.18
2025-07-24,3276,12.83
2025-07-24,3285,24.15
2025-07-24,3362,120.5
2025-07-24,3402,94.1
2025-07-24,3444,51.3
2025-07-24,3546,92.18
2025-07-24,3615,21.7
2025-07-24,3702,69.2
2025-07-24,3712,49.9
2025-07-24,3716,34.13
2025-07-24,4438,75.77
2025-07-24,4561,43.35
2025-07-24,4979,183.46
2025-07-24,5299,74.85
2025-07-24,6158,22.69
